timestamp,event,detail
2025-10-17T11:26:11,ALERT,Yawning
2025-10-17T11:26:19,ALERT,Yawning
2025-10-17 21:42:08,Eyes Closed,CLOSED,NORMAL,DOWN,0.193,0.004,0.76
2025-10-17 21:42:09,Head Down,CLOSED,NORMAL,DOWN,0.255,0.003,0.77
2025-10-17 21:42:10,Eyes Closed,CLOSED,NORMAL,DOWN,0.210,0.002,0.76
2025-10-17 21:42:10,Head Down,CLOSED,NORMAL,DOWN,0.268,0.002,0.76
2025-10-17 21:42:11,Eyes Closed,CLOSED,NORMAL,DOWN,0.193,0.004,0.53
2025-10-17 21:42:11,Head Down,CLOSED,NORMAL,DOWN,0.195,0.004,0.53
2025-10-17 21:42:13,Head Down,CLOSED,NORMAL,DOWN,0.286,0.007,0.94
2025-10-17 21:42:13,Eyes Closed,CLOSED,NORMAL,DOWN,0.291,0.006,0.94
2025-10-17 21:42:14,Head Down,CLOSED,NORMAL,DOWN,0.261,0.004,0.77
2025-10-17 21:42:14,Eyes Closed,CLOSED,NORMAL,DOWN,0.276,0.008,0.89
2025-10-17 21:42:15,Head Down,CLOSED,NORMAL,DOWN,0.278,0.020,0.80
2025-10-17 21:42:16,Eyes Closed,CLOSED,NORMAL,DOWN,0.269,0.003,0.74
2025-10-17 21:42:16,Head Down,CLOSED,NORMAL,DOWN,0.290,0.005,0.75
2025-10-17 21:42:18,Eyes Closed,CLOSED,NORMAL,DOWN,0.204,0.009,0.43
2025-10-17 21:42:18,Head Down,CLOSED,NORMAL,DOWN,0.188,0.016,0.40
2025-10-17 21:42:19,Head Down,CLOSED,NORMAL,DOWN,0.235,0.030,0.94
2025-10-17 21:42:19,Eyes Closed,CLOSED,NORMAL,DOWN,0.267,0.019,1.00
2025-10-17 21:42:20,Head Down,CLOSED,NORMAL,DOWN,0.246,0.004,0.87
2025-10-17 21:42:21,Eyes Closed,CLOSED,NORMAL,DOWN,0.257,0.003,0.80
2025-10-17 21:42:21,Head Down,CLOSED,NORMAL,DOWN,0.263,0.002,0.76
2025-10-17 21:42:22,Eyes Closed,CLOSED,NORMAL,DOWN,0.250,0.002,0.75
2025-10-17 21:42:23,Head Down,CLOSED,NORMAL,DOWN,0.256,0.002,0.75
2025-10-17 21:42:24,Eyes Closed,CLOSED,NORMAL,DOWN,0.263,0.002,0.76
2025-10-17 21:42:24,Head Down,CLOSED,NORMAL,DOWN,0.265,0.002,0.76
